fold,store_id,product_id,rows,actual_sales_total,baseline_wape,lightgbm_wape,baseline_bias,lightgbm_bias,extra_absolute_error
1,736,596,14,25.099999999999998,0.3118952760387024,0.3845178852545036,-0.24489795918367344,-0.5705965009960288,1.8228274913166116
1,741,116,14,13.700000000000001,0.28467153284671526,0.32535821315062546,0.09489795918367347,0.22136263555848343,0.5574075201635695
1,751,4,14,20.700000000000006,0.5583160800552104,0.46743185431065865,-0.0479591836734694,-0.4042080201505999,-1.8813034729122222
1,756,256,14,7.660000000000001,0.3274897426333456,0.38357576906308355,-0.08775510204081631,-0.12908035116392552,0.42961896245179254
1,772,122,14,28.300000000000004,0.27889954568399794,0.2833377907974756,-0.138265306122449,-0.4327682907938262,0.12560233671141852
1,781,150,14,7.999999999999999,0.35178571428571426,0.41337701697108914,-0.08469387755102042,-0.12478594629035734,0.49273042148299906
1,787,639,14,7.9,0.3345388788426764,0.35000635355054105,-0.03367346938775512,-0.15939265971291852,0.12219305019213067
1,792,339,14,10.600000000000001,0.3342318059299191,0.46305936355259203,-0.10816326530612244,-0.34887625548004164,1.3655721108003336
1,797,402,14,10.3,0.3467406380027739,0.33249459563478395,-0.05510204081632654,-0.11623834936882797,-0.14673423639029615
1,798,309,14,15.9,0.8778077268643306,0.8034576596576717,-0.2091836734693878,-0.04063167019956534,-1.182166068585877
1,806,6,14,15.7,0.32393084622383983,0.45783572240788395,-0.21428571428571425,-0.41487420257820057,2.1023065560894922
1,815,793,14,6.9,0.4285714285714285,0.3505764067132366,0.03775510204081632,0.07415308407172376,-0.5381656508215245
1,817,254,14,16.01,0.3620058891764076,0.4194837755071448,0.1460204081632653,0.36766004952919623,0.9202209601551026
1,851,806,14,4.5,0.5301587301587303,0.5750192582407929,0.031632653061224494,0.1134529408759081,0.20187237636928224
1,861,50,14,10.1,0.6859971711456859,0.6712688356562028,0.10102040816326532,0.08151675918457303,-0.14875618844378025
1,869,740,14,12.5,0.44799999999999995,0.40134271123114124,0.06530612244897957,-0.055181998141084605,-0.583216109610734
1,870,672,14,5.799999999999999,0.4059113300492612,0.4341181118907,-0.035102040816326535,-0.08755682481622382,0.16359933468034482
1,872,19,14,23.56,0.3513218530196459,0.3360272688759228,0.13571428571428573,0.3707326857797109,-0.3603404024261163
1,877,207,14,12.1,0.24675324675324675,0.2179291117036639,-0.09489795918367351,-0.1501204524083783,-0.3487720340999525
1,881,763,14,10.469999999999999,0.1953881839268659,0.17134040096435801,0.03632653061224491,-0.09517028861722017,-0.2517802876174575
1,882,215,14,51.4,0.22206781545302945,0.19877886624589788,-0.30306122448979583,-0.22561127486641055,-1.197051989246562
1,883,207,14,11.5,0.3652173913043478,0.35338274701125827,-0.09795918367346937,-0.176755913454933,-0.13609840937052997
1,885,58,14,7.73,0.21179079652559604,0.1621984061754713,-0.057551020408163255,0.03182296005130347,-0.38334917740646435
1,890,783,14,15.0,0.44571428571428573,0.3912555589900453,-0.10612244897959186,-0.009974557911373924,-0.8168809008636062
1,894,683,14,6.500000000000001,0.4703296703296702,0.5119244067321715,0.06122448979591831,0.0980454685739326,0.27036578661625876
2,0,631,14,7.37,0.4369063772048846,0.47087836881866735,0.04673469387755103,0.11908735366824096,0.2503735781935785
2,3,426,14,11.499999999999998,0.3167701863354037,0.30286728706358185,0.03163265306122446,0.07124582917358996,-0.15988334162595175
2,18,634,14,10.8,0.31746031746031744,0.3478564665189012,-0.010204081632653048,0.09753095334550703,0.32827840983270384
2,20,588,14,7.500000000000002,0.41333333333333333,0.4131176845446922,0.03775510204081632,0.06771049166275316,-0.001617365914808211
2,29,858,14,14.2,0.7122736418511066,0.7522409726785393,-0.4163265306122449,-0.5252143928075854,0.567536097749544
2,39,393,14,6.6899999999999995,0.3634422378816998,0.3433148915386557,-0.0030612244897959234,-0.020121657877213407,-0.13465194703496497
2,40,87,14,6.5,0.32527472527472523,0.32579845214046055,-0.03673469387755102,-0.03751831460157876,0.0034042246272796284
2,41,775,14,33.0,0.3121212121212121,0.29937214565066395,0.03775510204081646,-0.07454205795046434,-0.42071919352808784
2,42,272,14,21.17,0.24164923409136926,0.22526536320822435,0.047040816326530614,-0.20974189357531975,-0.3468465465961774
2,45,350,14,8.319999999999999,0.3866758241758242,0.38487608491453346,0.02857142857142855,0.017677157066891876,-0.014973830653938869
2,49,740,14,8.9,0.37078651685393255,0.3217090878075801,-0.031632653061224474,-0.10846460915849497,-0.43678911851253677
2,56,600,14,9.7,0.42415316642120765,0.3529512960522512,-0.014285714285714263,-0.03479102416334402,-0.6906581425788776
2,60,379,14,26.400000000000002,0.3214285714285714,0.24958481254044315,0.0693877551020409,-0.10615435123100302,-1.8966752346465858
2,62,129,14,9.799999999999999,0.696793002915452,0.6530523737383699,-0.12244897959183672,0.09293622559647799,-0.4286581659354036
2,72,393,14,5.7700000000000005,0.41148799207724684,0.3812801442617332,-0.018163265306122445,0.0156512589123585,-0.17429928189551402
2,72,580,14,35.6,0.3386837881219903,0.2688562639694786,-0.20816326530612247,-0.15100479298078343,-2.485859859829416
2,75,434,14,7.5,0.30666666666666664,0.25970447493789045,-0.01326530612244898,0.0303256766111145,-0.35221643796582147
2,81,194,14,10.640000000000002,0.3566058002148227,0.41004852866369706,-0.09367346938775509,-0.2585339048917727,0.5686306306960232
2,81,686,14,10.4,0.33928571428571436,0.38936898368119777,-0.13979591836734698,-0.25831064607963355,0.5208660017130278
2,84,768,14,9.799999999999999,0.8309037900874637,0.6804791299606101,-0.038775510204081556,-0.07060881749153462,-1.4741616692431663
2,88,467,14,12.7,0.5838020247469067,0.6520174247786538,-0.08061224489795916,-0.202256105839372,0.8663355804031889
2,91,108,14,3.7699999999999996,0.8950359984842746,1.3422515218057633,0.15816326530612249,0.3364836332830635,1.6860025229220121
2,95,12,14,6.499999999999999,0.4630769230769231,0.45487748212392326,-0.08908163265306124,0.007553354298751651,-0.05329636619449918
2,100,193,14,7.3,0.27592954990215257,0.26149990864502787,0.015306122448979581,0.07758947060457803,-0.10533638117701027
2,104,118,14,12.7,0.24296962879640044,0.2527508160997137,0.02448979591836734,0.09794461126581082,0.124221078752079
2,110,666,14,9.2,0.3447204968944101,0.34837998952618043,0.07551020408163266,0.03472738598111481,0.03366733221228735
2,113,834,14,29.7,0.43290043290043295,0.3320256545823133,-0.34489795918367344,-0.1476458881401135,-2.9959809160481523
